Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1734459861,10,,Aggregated,1.900000,0.200000,2500,4000,4600,5000,5500,8000,9600,10000,10000,10000,10000,66,4,2500.0,3273.173388333596,465.5679580027936,10097.671003997675,3020.787878787879
1734459862,10,,Aggregated,1.900000,0.200000,2500,4000,4600,5000,5500,8000,9600,10000,10000,10000,10000,66,4,2500.0,3273.173388333596,465.5679580027936,10097.671003997675,3020.787878787879
1734459863,10,,Aggregated,1.900000,0.200000,2500,4000,4600,5000,5500,8000,9600,10000,10000,10000,10000,66,4,2500.0,3273.173388333596,465.5679580027936,10097.671003997675,3020.787878787879
1734459864,10,,Aggregated,1.900000,0.200000,2500,4000,4600,5000,5500,8000,9600,10000,10000,10000,10000,66,4,2500.0,3273.173388333596,465.5679580027936,10097.671003997675,3020.787878787879
1734459865,10,,Aggregated,2.500000,0.300000,2800,4600,5000,5100,6500,8000,9600,10000,10000,10000,10000,76,5,2700.0,3518.6850600268945,465.5679580027936,10097.671003997675,3025.2631578947367
1734459866,10,,Aggregated,1.800000,0.200000,2500,4200,5000,5000,5500,7800,9600,10000,10000,10000,10000,83,6,2500.0,3332.3682900007984,465.5679580027936,10097.671003997675,3270.3373493975905
1734459867,10,,Aggregated,2.800000,0.300000,2500,4200,5000,5000,5500,7800,9600,10000,10000,10000,10000,85,6,2500.0,3320.623860683169,465.5679580027936,10097.671003997675,3204.4470588235295
1734459868,10,,Aggregated,3.300000,0.400000,2600,4200,5000,5000,5500,7800,9600,10000,10000,10000,10000,87,6,2600.0,3317.6486850811516,465.5679580027936,10097.671003997675,3263.2758620689656
1734459869,10,,Aggregated,3.300000,0.400000,2600,4200,5000,5000,5500,7800,9600,10000,10000,10000,10000,87,6,2600.0,3317.6486850811516,465.5679580027936,10097.671003997675,3263.2758620689656
1734459870,10,,Aggregated,3.300000,0.400000,2600,4200,5000,5000,5500,7800,9600,10000,10000,10000,10000,87,6,2600.0,3317.6486850811516,465.5679580027936,10097.671003997675,3263.2758620689656
1734459871,10,,Aggregated,2.900000,0.300000,2700,4400,5000,5100,5800,7800,9600,10000,10000,10000,10000,92,6,2700.0,3426.3000493160885,465.5679580027936,10097.671003997675,3175.804347826087
1734459872,10,,Aggregated,2.900000,0.300000,2700,4400,5000,5100,5800,7800,9600,10000,10000,10000,10000,92,6,2700.0,3426.3000493160885,465.5679580027936,10097.671003997675,3175.804347826087
1734459873,10,,Aggregated,2.900000,0.300000,2700,4400,5000,5100,5800,7800,9600,10000,10000,10000,10000,92,6,2700.0,3426.3000493160885,465.5679580027936,10097.671003997675,3175.804347826087
1734459874,10,,Aggregated,2.900000,0.300000,2700,4400,5000,5100,5800,7800,9600,10000,10000,10000,10000,92,6,2700.0,3426.3000493160885,465.5679580027936,10097.671003997675,3175.804347826087
1734459875,10,,Aggregated,2.600000,0.200000,3200,4600,5000,5200,6500,7800,8500,9600,10000,10000,10000,102,9,3100.0,3629.9194188242977,465.5679580027936,10097.671003997675,3284.029411764706
1734459876,10,,Aggregated,2.600000,0.200000,3100,4400,5000,5100,6500,7800,8500,9600,10000,10000,10000,106,10,2900.0,3537.617272576169,465.5679580027936,10097.671003997675,3229.603773584906
1734459877,10,,Aggregated,2.600000,0.200000,2900,4400,5000,5100,6500,7800,8500,9600,10000,10000,10000,107,11,2900.0,3521.6593856268582,465.5679580027936,10097.671003997675,3200.5233644859813
1734459878,10,,Aggregated,2.600000,0.200000,2900,4400,5000,5100,6500,7800,8500,9600,10000,10000,10000,107,11,2900.0,3521.6593856268582,465.5679580027936,10097.671003997675,3200.5233644859813
1734459879,10,,Aggregated,2.500000,0.400000,3100,4400,5000,5100,6500,7800,8500,9600,10000,10000,10000,110,11,3100.0,3532.9485121733424,465.5679580027936,10097.671003997675,3225.4454545454546
1734459880,10,,Aggregated,2.500000,0.400000,3100,4400,5000,5100,6500,7800,8500,9600,10000,10000,10000,110,11,3100.0,3532.9485121733424,465.5679580027936,10097.671003997675,3225.4454545454546
1734459881,10,,Aggregated,2.500000,0.400000,3100,4400,5000,5100,6500,7800,8500,9600,10000,10000,10000,110,11,3100.0,3532.9485121733424,465.5679580027936,10097.671003997675,3225.4454545454546
1734459882,10,,Aggregated,2.500000,0.400000,3100,4400,5000,5100,6500,7800,8500,9600,10000,10000,10000,110,11,3100.0,3532.9485121733424,465.5679580027936,10097.671003997675,3225.4454545454546
1734459883,10,,Aggregated,2.100000,0.500000,3700,4600,5100,5300,7200,8000,8500,9600,10000,10000,10000,119,12,3700.0,3763.268831050994,465.5679580027936,10097.671003997675,3387.63025210084
1734459884,10,,Aggregated,2.100000,0.500000,3700,4600,5100,5200,7000,7800,8500,9600,10000,10000,10000,121,12,3700.0,3748.233784570778,465.5679580027936,10097.671003997675,3477.471074380165
1734459885,10,,Aggregated,2.600000,0.600000,3400,4600,5100,5200,7000,7800,8500,9600,10000,10000,10000,123,12,3400.0,3727.241377016729,465.5679580027936,10097.671003997675,3775.5934959349593
1734459886,10,,Aggregated,2.900000,0.600000,3400,4600,5000,5200,7000,7800,8500,9600,10000,10000,10000,126,12,3400.0,3719.103818516213,465.5679580027936,10097.671003997675,3853.8571428571427
1734459887,10,,Aggregated,2.900000,0.600000,3400,4600,5000,5200,7000,7800,8500,9600,10000,10000,10000,127,12,3400.0,3719.6235160869737,465.5679580027936,10097.671003997675,3827.2913385826773
1734459888,10,,Aggregated,2.900000,0.600000,3400,4600,5000,5200,7000,7800,8500,9600,10000,10000,10000,127,12,3400.0,3719.6235160869737,465.5679580027936,10097.671003997675,3827.2913385826773
1734459889,10,,Aggregated,2.900000,0.600000,3400,4600,5000,5200,7000,7800,8500,9600,10000,10000,10000,127,12,3400.0,3719.6235160869737,465.5679580027936,10097.671003997675,3827.2913385826773
1734459890,10,,Aggregated,2.000000,0.100000,3700,4600,5100,5500,7000,7800,8500,9600,10000,10000,10000,130,12,3400.0,3779.2445334002527,465.5679580027936,10097.671003997675,3762.276923076923
1734459891,10,,Aggregated,2.000000,0.100000,3700,4600,5100,5500,7000,7800,8500,9600,10000,10000,10000,130,12,3400.0,3779.2445334002527,465.5679580027936,10097.671003997675,3762.276923076923
1734459892,10,,Aggregated,2.000000,0.100000,3700,4600,5100,5500,7000,7800,8500,9600,10000,10000,10000,130,12,3400.0,3779.2445334002527,465.5679580027936,10097.671003997675,3762.276923076923
1734459893,10,,Aggregated,2.000000,0.100000,3700,4600,5100,5500,7000,7800,8500,9600,10000,10000,10000,130,12,3400.0,3779.2445334002527,465.5679580027936,10097.671003997675,3762.276923076923
1734459894,10,,Aggregated,2.000000,0.100000,3700,4600,5100,5500,7000,7800,8500,9600,10000,10000,10000,130,12,3400.0,3779.2445334002527,465.5679580027936,10097.671003997675,3762.276923076923
1734459895,10,,Aggregated,1.200000,0.000000,3900,5000,5300,6400,7700,8800,9900,10000,11000,11000,11000,141,15,3900.0,4033.1085726810934,369.0863310039276,11364.969709000434,3917.404255319149
1734459896,10,,Aggregated,0.900000,0.000000,3900,5000,5400,6400,7700,8800,9900,10000,11000,11000,11000,143,16,3900.0,4030.4807436365923,369.0863310039276,11364.969709000434,3888.1188811188813
1734459897,10,,Aggregated,0.900000,0.000000,3800,5000,5300,6400,7700,8800,9900,10000,11000,11000,11000,145,16,3800.0,4001.6801561518964,369.0863310039276,11364.969709000434,3838.958620689655
1734459898,10,,Aggregated,0.900000,0.000000,3800,5000,5300,6400,7700,8800,9900,10000,11000,11000,11000,145,16,3800.0,4001.6801561518964,369.0863310039276,11364.969709000434,3838.958620689655
1734459899,10,,Aggregated,0.900000,0.000000,3800,5000,5300,6400,7700,8800,9900,10000,11000,11000,11000,145,16,3800.0,4001.6801561518964,369.0863310039276,11364.969709000434,3838.958620689655
1734459900,10,,Aggregated,1.800000,0.400000,3900,5000,5400,6400,7700,8800,9900,10000,11000,11000,11000,150,16,3900.0,4041.757602526826,369.0863310039276,11364.969709000434,3868.24
1734459901,10,,Aggregated,1.800000,0.400000,3900,5000,5400,6300,7600,8800,9600,10000,11000,11000,11000,154,17,3900.0,4041.1294349352074,358.18605800159276,11364.969709000434,4192.266233766234
1734459902,10,,Aggregated,1.500000,0.400000,3900,5000,5400,6300,7600,8800,9600,10000,11000,11000,11000,158,18,3900.0,4029.7775852722903,358.18605800159276,11364.969709000434,4113.335443037975
1734459903,10,,Aggregated,2.200000,0.400000,3900,5000,5400,6300,7600,8800,9600,10000,11000,11000,11000,160,18,3900.0,4009.985526631499,358.18605800159276,11364.969709000434,4372.1625
1734459904,10,,Aggregated,2.200000,0.400000,3900,5000,5300,6100,7300,8500,9600,10000,11000,11000,11000,161,18,3900.0,4002.8390672983587,358.18605800159276,11364.969709000434,4347.931677018633
1734459905,10,,Aggregated,2.900000,0.600000,3800,5000,5200,5800,7300,8500,9600,10000,11000,11000,11000,167,20,3800.0,3984.1005311321924,358.18605800159276,11364.969709000434,4283.233532934131
1734459906,10,,Aggregated,2.900000,0.600000,3800,5000,5200,5800,7300,8500,9600,10000,11000,11000,11000,167,20,3800.0,3984.1005311321924,358.18605800159276,11364.969709000434,4283.233532934131
1734459907,10,,Aggregated,2.600000,0.400000,3800,4900,5200,5800,7300,8500,9600,10000,11000,11000,11000,172,22,3800.0,3983.480846064404,358.18605800159276,11364.969709000434,4237.593023255814
1734459908,10,,Aggregated,2.600000,0.500000,3700,4900,5200,5800,7300,8500,9600,10000,11000,11000,11000,177,22,3700.0,3954.10285237338,358.18605800159276,11364.969709000434,4264.214689265536
1734459909,10,,Aggregated,2.600000,0.500000,3700,4900,5200,5800,7300,8500,9600,10000,11000,11000,11000,177,22,3700.0,3954.10285237338,358.18605800159276,11364.969709000434,4264.214689265536
1734459910,10,,Aggregated,2.800000,0.600000,3500,4700,5100,5500,7200,8200,9600,10000,11000,11000,11000,184,24,3500.0,3912.419240000457,358.18605800159276,11364.969709000434,4205.413043478261
1734459911,10,,Aggregated,2.800000,0.600000,3500,4700,5100,5500,7200,8200,9600,10000,11000,11000,11000,184,24,3500.0,3912.419240000457,358.18605800159276,11364.969709000434,4205.413043478261
1734459912,10,,Aggregated,3.200000,0.600000,3500,4600,5100,5500,7200,8200,9600,10000,11000,11000,11000,189,24,3500.0,3884.514454238655,358.18605800159276,11364.969709000434,4443.910052910053
1734459913,10,,Aggregated,3.200000,0.800000,3400,4600,5100,5400,7000,8200,9600,10000,11000,11000,11000,195,27,3400.0,3839.6343016723104,358.18605800159276,11364.969709000434,4335.466666666666
1734459914,10,,Aggregated,3.200000,0.800000,3400,4600,5100,5400,7000,8200,9600,10000,11000,11000,11000,196,27,3400.0,3836.1256941688207,358.18605800159276,11364.969709000434,4368.908163265306
1734459915,10,,Aggregated,3.100000,0.600000,3400,4600,5000,5400,7000,8200,9600,10000,11000,11000,11000,197,27,3400.0,3835.5128700512687,358.18605800159276,11364.969709000434,4356.106598984771
1734459916,10,,Aggregated,3.100000,0.600000,3400,4600,5000,5400,7000,8200,9600,10000,11000,11000,11000,197,27,3400.0,3835.5128700512687,358.18605800159276,11364.969709000434,4356.106598984771
1734459917,10,,Aggregated,3.500000,0.900000,3500,4600,5000,5400,7000,8200,9600,10000,11000,11000,11000,198,27,3400.0,3840.414500323764,358.18605800159276,11364.969709000434,4336.570707070707
1734459918,10,,Aggregated,3.200000,0.900000,3500,4600,5000,5300,7000,8000,9500,9900,11000,11000,11000,206,28,3500.0,3868.3460339617313,358.18605800159276,11364.969709000434,4267.436893203883
1734459919,10,,Aggregated,3.000000,0.700000,3500,4500,5000,5200,7000,8000,9500,9900,11000,11000,11000,212,30,3500.0,3817.0857670146397,358.18605800159276,11364.969709000434,4238.575471698113
1734459920,10,,Aggregated,3.300000,0.600000,3400,4500,5000,5200,7000,8000,9500,9900,11000,11000,11000,215,31,3400.0,3793.6594608329847,358.18605800159276,11364.969709000434,4232.218604651162
1734459921,10,,Aggregated,3.300000,0.600000,3400,4500,5000,5200,7000,8000,9500,9900,11000,11000,11000,215,31,3400.0,3793.6594608329847,358.18605800159276,11364.969709000434,4232.218604651162
1734459922,10,,Aggregated,3.700000,0.900000,3400,4500,5000,5200,6700,8000,9500,9900,11000,11000,11000,221,31,3400.0,3785.3912918012466,358.18605800159276,11364.969709000434,4217.013574660634
1734459923,10,,Aggregated,3.100000,0.700000,3500,4500,5000,5200,6700,8000,9500,9900,11000,11000,11000,222,31,3400.0,3785.541500793172,358.18605800159276,11364.969709000434,4200.207207207207
1734459924,10,,Aggregated,3.100000,0.700000,3500,4500,5000,5200,6700,8000,9500,9900,11000,11000,11000,222,31,3400.0,3785.541500793172,358.18605800159276,11364.969709000434,4200.207207207207
1734459925,10,,Aggregated,3.100000,0.700000,3500,4500,5000,5200,6700,8000,9500,9900,11000,11000,11000,222,31,3400.0,3785.541500793172,358.18605800159276,11364.969709000434,4200.207207207207
1734459926,10,,Aggregated,2.600000,0.400000,3500,4500,5000,5200,6700,8000,9500,9900,11000,11000,11000,227,31,3500.0,3818.694478427745,358.18605800159276,11364.969709000434,4263.1189427312775
1734459927,10,,Aggregated,2.600000,0.400000,3500,4500,5000,5200,6700,8000,9500,9900,11000,11000,11000,227,31,3500.0,3818.694478427745,358.18605800159276,11364.969709000434,4263.1189427312775
1734459928,10,,Aggregated,2.500000,0.400000,3500,4500,5000,5400,6600,8000,9500,9900,11000,11000,11000,234,33,3500.0,3844.093803385072,358.18605800159276,11364.969709000434,4225.440170940171
1734459929,10,,Aggregated,2.500000,0.400000,3500,4500,5000,5400,6600,8000,9500,9900,11000,11000,11000,235,33,3500.0,3838.7305227749202,358.18605800159276,11364.969709000434,4208.353191489362
1734459930,10,,Aggregated,2.500000,0.400000,3500,4500,5000,5400,6600,8000,9500,9900,11000,11000,11000,235,33,3500.0,3838.7305227749202,358.18605800159276,11364.969709000434,4208.353191489362
1734459931,10,,Aggregated,2.100000,0.300000,3500,4500,5000,5400,6600,8000,9500,9900,11000,11000,11000,237,33,3500.0,3843.547461975186,358.18605800159276,11364.969709000434,4176.860759493671
1734459932,10,,Aggregated,2.100000,0.300000,3500,4500,5000,5400,6600,8000,9500,9900,11000,11000,11000,237,33,3500.0,3843.547461975186,358.18605800159276,11364.969709000434,4176.860759493671
1734459933,10,,Aggregated,2.200000,0.200000,3700,4600,5000,5300,6500,8000,9500,9900,11000,11000,11000,244,34,3700.0,3865.7559482996817,358.18605800159276,11364.969709000434,4109.700819672131
1734459934,10,,Aggregated,2.200000,0.200000,3700,4600,5000,5300,6500,8000,9500,9900,11000,11000,11000,244,34,3700.0,3865.7559482996817,358.18605800159276,11364.969709000434,4109.700819672131
1734459935,10,,Aggregated,2.100000,0.300000,3700,4600,5000,5300,6500,8000,9500,9900,11000,11000,11000,249,36,3700.0,3867.046174775607,358.18605800159276,11364.969709000434,4131.373493975903
1734459936,10,,Aggregated,2.200000,0.300000,3600,4500,5000,5200,6500,8000,8800,9900,11000,11000,11000,253,36,3600.0,3860.6071133325186,358.18605800159276,11364.969709000434,4124.482213438735
1734459937,10,,Aggregated,2.500000,0.500000,3600,4500,5000,5200,6500,8000,8800,9900,11000,11000,11000,257,36,3600.0,3839.5577815375136,358.18605800159276,11364.969709000434,4149.105058365759
1734459938,10,,Aggregated,2.700000,0.500000,3500,4500,5000,5200,6500,7800,8800,9900,11000,11000,11000,261,36,3500.0,3820.120147111662,358.18605800159276,11364.969709000434,4132.0498084291185
1734459939,10,,Aggregated,2.700000,0.500000,3500,4500,5000,5200,6500,7800,8800,9900,11000,11000,11000,261,36,3500.0,3820.120147111662,358.18605800159276,11364.969709000434,4132.0498084291185
1734459940,10,,Aggregated,3.000000,0.500000,3600,4500,5000,5200,6500,7800,8800,9900,11000,11000,11000,263,36,3600.0,3819.0082673845677,358.18605800159276,11364.969709000434,4110.171102661597
1734459941,10,,Aggregated,3.000000,0.500000,3600,4500,5000,5200,6500,7800,8800,9900,11000,11000,11000,263,36,3600.0,3819.0082673845677,358.18605800159276,11364.969709000434,4110.171102661597
1734459942,10,,Aggregated,2.600000,0.300000,3600,4500,5000,5200,6500,7800,8800,9900,11000,11000,11000,267,36,3600.0,3841.8169407870955,358.18605800159276,11364.969709000434,4138.741573033708
1734459943,10,,Aggregated,2.600000,0.300000,3600,4500,5000,5200,6500,7800,8800,9900,11000,11000,11000,267,36,3600.0,3841.8169407870955,358.18605800159276,11364.969709000434,4138.741573033708
